name,wikidata_id,label,score
tmo,Q643674,Thermo Fisher Scientific Inc.,100.0
tmus,Q3511885,T-Mobile US,100.0
towerco,Q123353894,Towercom,93.0
trading risk management group,,,
traditional electric co .,,,
tranquillity,,,
triton,,,
trs,,,
trust a,,,
"trust a , trust b",,,
trust bank,Q132645385,Trust Bank,100.0
trust entity,,,
tsla,Q478214,Tesla,100.0
tthc merger sub,,,
twdc,Q7414,The Walt Disney Company,100.0
twdc enterprises 18 corp,,,
txn,,,
u bank,Q11869262,U-Bank,100.0
u.s. acquisitionco,,,
u.s. affiliate,,,
u.s. army,,,
u.s. bancorp,Q739084,U.S. Bancorp,100.0
u.s. bank national association,,,
uaw ( united auto worker ),,,
uaw retiree medical benefit trust,,,
uaw trust,,,
uber,Q780442,Uber,100.0
uber payment b.v .,,,
uhcs,,,
ultimate parent,,,
ultimate parent of twdc enterprise 18 corp .,,,
unconsol aff co,,,
unconsolidated affiliate,,,
unconsolidated affiliate company,,,
unconsolidated entity,,,
unh,,,
union,Q1810731,Union,100.0
union of day laborer,,,
union pacific,Q725793,Union Pacific Railroad,100.0
union pacific corporation,Q20183163,Union Pacific Corporation,100.0
union pacific railroad company,Q725793,Union Pacific Railroad,100.0
"union pacific receivables , inc .",,,
united auto worker,,,
united worker eei,,,
universal studio japan,,,
university of central florida,Q143451,University of Central Florida,100.0
university of kansa,Q52413,University of Kansas,97.0
university of pittsburgh,Q235034,University of Pittsburgh,100.0
university of southern california,Q4614,University of Southern California,100.0
university of southern mississippi,Q624090,University of Southern Mississippi,100.0
university of washington,,,
unknown entity,,,
unp,Q7603634,Padang State University,100.0
unp cable,,,
ups,Q1318737,UPS Airlines,100.0
usb,Q2093477,Simón Bolívar University,100.0
usb capital ix,,,
usb realty corp,,,
usb realty corp .,,,
usbcapital ix,,,
usbrealty,,,
usbrealty corp,,,
usstc,,,
ust,Q1401524,University of Santo Tomas,100.0
utility commission of the city of new smyrna beach,,,
v,,,
valuation advisory committee,,,
valuation control group,,,
variable interest entity ( vies ),,,
vendor,,,
verizon communication inc .,Q467752,Verizon,98.0
"vi merger sub , inc .",,,
vie,,,
vie 1,,,
vies,,,
virginia natural gas,,,
visa canada,,,
visa canada association,,,
visa europe limit,,,
visa foundation,,,
visa international,Q328840,Visa Inc.,100.0
visa international service association,,,
visa international transition llc,,,
visa u.s.a .,,,
visa u.s.a. inc .,,,
visa usa merger sub inc .,,,
vocalink,,,
voe,,,
vogtle owner,,,
voicestream pittsburgh,,,
"voicestream pittsburgh , l.p .",,,
vote interest entity,,,
vz,Q467752,Verizon,100.0
wabash valley power association,,,
"wachovia bank , national association",,,
wake wind,,,
walmex,Q1064887,Walmart de México y Centroamérica,100.0
warnermedia/discovery combine company,,,
well fargo bank,Q744149,Wells Fargo,97.0
"well fargo bank , n.a .",,,
"well fargo bank , national association",Q744149,Wells Fargo,99.0
well fargo clear,,,
well fargo security,,,
west virginia power association,,,
western electricity coordinate council,,,
wfc,,,
wfc holding,,,
wholesaler,,,
wholly-owned captive insurance subsidiary,,,
wholly-owned subsidiary of new medtronic,,,
wholly-owned trust subsidiary,,,
wireless alliance,,,
"wireless alliance , llc",,,
wireless operator,,,
wmt,Q483551,沃尔玛,100.0
worker ' council,,,
"worldwide chairman , consumer",,,
"worldwide chairman , consumer health",,,
"worldwide chairman , medical device",,,
"worldwide chairman , pharmaceutical",,,
wvpa,,,
xom,Q156238,ExxonMobil,100.0
xyz corp,,,
yale center for natural carbon capture,,,
