term,meaning,occurrence_count,chapters,source_files,is_aristotelian,genus,differentia,reason,suggested_genus,suggested_differentia,classification_error
depreciate,when one unit of a currency will purchase less of a foreign currency than it did previously,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,not a category,a change in value,where one unit of a currency will purchase less of a foreign currency than it did previously,
depreciation,"the process of allocating the costs of a tangible asset over the asset’s economic life | process of allocating the costs of a tangible asset over the asset’s economic life | the process of spreading business costs in accounting; similar to amortization, but differs in that it generally refers to fixed, tangible assets such as buildings, machinery, furniture, fixtures, and equipment",3,When Should a Company Capitalize or Expense an Item?; The Income Statement; Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00028\index.cnxml; osbooks-principles-finance\modules\m00031\index.cnxml; osbooks-principles-finance\modules\m00067\index.cnxml,yes,the process,of allocating the costs of a tangible asset over the asset’s economic life,,,,
derivative,a security that derives its value from another asset,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,a security,that derives its value from another asset,,,,
direct method,"approach used to determine net cash flows from operating activities, whereby accrual basis revenue and expenses are converted to cash basis collections and payments",1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,approach,"used to determine net cash flows from operating activities, whereby accrual basis revenue and expenses are converted to cash basis collections and payments",,,,
discount bond,a bond currently trading for less than its par value in the secondary market; offers a coupon rate that is lower than prevailing interest rates,1,Bond Valuation,osbooks-principles-finance\modules\m00062\index.cnxml,yes,a bond,currently trading for less than its par value in the secondary market; offers a coupon rate that is lower than prevailing interest rates,,,,
discount period,the number of days the buyer has to take advantage of the cash discount for an early payment,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,the number of days,the buyer has to take advantage of the cash discount for an early payment,,,,
discount rate,"the interest rate used to determine the present value of future cash inflows | an interest rate used in time value of money calculations to determine present value; may derive from several sources, such as stated contract rates, costs to borrow, or expected rates of return on investments",2,Applications of TVM in Finance; Annuities,osbooks-principles-finance\modules\m00050\index.cnxml; osbooks-principles-finance\modules\m00053\index.cnxml,yes,the interest rate,"used to determine the present value of future cash inflows | used in time value of money calculations to determine present value; may derive from several sources, such as stated contract rates, costs to borrow, or expected rates of return on investments",,,,
discounted cash flow (DCF),a method for estimating the value of an investment based on the present value of its expected future cash flows,1,Discounted Cash Flow (DCF) Model,osbooks-principles-finance\modules\m00069\index.cnxml,yes,a method for estimating the value of an investment,based on the present value of its expected future cash flows,,,,
discounted payback period,the length of time it will take for the present value of the future cash inflows of a project to equal the initial cost of the investment,1,Alternative Methods,osbooks-principles-finance\modules\m00102\index.cnxml,yes,the length of time,it will take for the present value of the future cash inflows of a project to equal the initial cost of the investment,,,,
diversifiable risk,"also called unsystematic risk, a risk that can be eliminated without the loss of expected return by holding a portfolio of securities",1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,a risk,that can be eliminated without the loss of expected return by holding a portfolio of securities,,,,
diversification,holding a variety of assets in a portfolio,1,Risk and Return to Multiple Assets,osbooks-principles-finance\modules\m00094\index.cnxml,yes,holding,a variety of assets in a portfolio,,,,
dividend,a sum of money paid regularly (typically quarterly) by a company to its shareholders out of its profits or reserves,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a sum of money,paid regularly (typically quarterly) by a company to its shareholders out of its profits or reserves,,,,
dividend discount model (DDM),a quantitative method for predicting the price of a company’s stock based on the theory that its present-day price is worth the sum of all of its future dividend payments when discounted back to their present value,1,Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00068\index.cnxml,yes,a quantitative method,for predicting the price of a company’s stock based on the theory that its present-day price is worth the sum of all of its future dividend payments when discounted back to their present value,,,,
dividend yield,"a financial ratio (dividend/price) that shows how much a company pays out in dividends each year relative to its stock price, expressed as a percentage | the total dividends received by the owner of a share of stock divided by the price originally paid for the stock",2,Multiple Approaches to Stock Valuation; Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00067\index.cnxml; osbooks-principles-finance\modules\m00093\index.cnxml,yes,a financial ratio,"that shows how much a company pays out in dividends each year relative to its stock price, expressed as a percentage",,,,
dividends,portion of the net worth (equity) that is returned to owners of a corporation as a reward for their investment,1,The Relationship between the Balance Sheet and the Income Statement,osbooks-principles-finance\modules\m00033\index.cnxml,yes,portion of the net worth (equity),that is returned to owners of a corporation as a reward for their investment,,,,
domestic corporation (in state),a corporation incorporated under the laws of the country or state in which it does business,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a corporation,incorporated under the laws of the country or state in which it does business,,,,
double-entry accounting,an accounting method that requires the sum of the debits to equal the sum of the credits for each transaction,1,Economic Basis for Accrual Accounting,osbooks-principles-finance\modules\m00026\index.cnxml,yes,an accounting method,that requires the sum of the debits to equal the sum of the credits for each transaction,,,,
DuPont method,framework for financial analysis that breaks return on equity down into smaller elements,1,Profitability Ratios and the DuPont Method,osbooks-principles-finance\modules\m00045\index.cnxml,yes,framework for financial analysis,that breaks return on equity down into smaller elements,,,,
duration,a measure of how much bond prices are likely to change if and when interest rates move | a measure of interest rate risk,2,Risks of Interest Rates and Default; Interest Rate Risk,osbooks-principles-finance\modules\m00064\index.cnxml; osbooks-principles-finance\modules\m00130\index.cnxml,no,,,circular,a measure,of how much bond prices are likely to change if and when interest rates move,
duration risk,the risk associated with the sensitivity of a bond’s price to a 1% change in interest rates,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk,associated with the sensitivity of a bond’s price to a 1% change in interest rates,,,,
earnings per share (EPS),measures the portion of a corporation’s profit allocated to each outstanding share of common stock | the ratio of a company’s profits to the outstanding shares of its common stock; serves as an indicator of a company’s profitability,2,Market Value Ratios; Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00044\index.cnxml; osbooks-principles-finance\modules\m00067\index.cnxml,yes,a measure,of the portion of a corporation’s profit allocated to each outstanding share of common stock,,,,
EBIT,"short for earnings before interest and taxes; an indicator of a firm’s profitability before the effects of interest or taxes; also referred to as operating earnings, operating profit, and profit before interest and tax",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,no,,,"circular, not a category",an indicator of a firm's profitability,before the effects of interest or taxes,
economic exposure,the risk that a change in exchange rates will impact a business’s sales and number of customers,1,Foreign Exchange Rates,osbooks-principles-finance\modules\m00022\index.cnxml,yes,the risk,that a change in exchange rates will impact a business’s sales and number of customers,,,,
economic risk,the risk that a change in exchange rates will impact the number of customers a business has or its sales,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,no genus stated,a type of risk,that a change in exchange rates will impact the number of customers a business has or its sales,
economic value,"the amount a consumer is willing to pay for a particular asset or service, usually greater than or equal to the current market price or present value of the asset",1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,the amount,"a consumer is willing to pay for a particular asset or service, usually greater than or equal to the current market price or present value of the asset",,,,
effective annual rate (EAR),returns expressed on an annualized or yearly basis; allows for the comparison of various investments,1,Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00093\index.cnxml,no,,,no clear genus stated,a rate,that expresses returns on an annualized or yearly basis and allows for the comparison of various investments,
effective interest rate,the interest rate that results when compounding occurs multiple times within a year; the true cost of borrowing,1,Stated versus Effective Rates,osbooks-principles-finance\modules\m00055\index.cnxml,yes,the interest rate,that results when compounding occurs multiple times within a year; the true cost of borrowing,,,,
efficiency ratios,ratios that show how well a company uses and manages its assets,1,Operating Efficiency Ratios,osbooks-principles-finance\modules\m00041\index.cnxml,yes,ratios,that show how well a company uses and manages its assets,,,,
efficient markets,"markets in which costs are minimal and prices are current, fair, and reflective of all available relevant information",1,Efficient Markets,osbooks-principles-finance\modules\m00071\index.cnxml,yes,markets,"in which costs are minimal and prices are current, fair, and reflective of all available relevant information",,,,
"Electronic Data Gathering, Analysis, and Retrieval system (EDGAR)","the primary system for collecting and indexing documents submitted by companies and others under the Securities Act of 1933, the Securities Exchange Act of 1934, the Trust Indenture Act of 1939, and the Investment Company Act of 1940",1,Companies in Domestic and Global Markets,osbooks-principles-finance\modules\m00016\index.cnxml,yes,the primary system,"for collecting and indexing documents submitted by companies and others under the Securities Act of 1933, the Securities Exchange Act of 1934, the Trust Indenture Act of 1939, and the Investment Company Act of 1940",,,,
empirical rule,"a rule that provides the percentages of data values falling within one, two, and three standard deviations from the mean for a bell-shaped (normal) distribution",1,Probability Distributions,osbooks-principles-finance\modules\m00082\index.cnxml,yes,a rule,"that provides the percentages of data values falling within one, two, and three standard deviations from the mean for a bell-shaped (normal) distribution",,,,
enterprise value (EV),a company’s total value; often used as a more comprehensive alternative to equity market capitalization,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,no,,,no genus stated,a measure of value,that represents a company's total value and is often used as a more comprehensive alternative to equity market capitalization,
enterprise value (EV) multiples,"also known as company value multiples; ratios used to determine the overall value of a company and, by extension, the value of its common stock",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,ratios,"used to determine the overall value of a company and, by extension, the value of its common stock",,,,
equal annuity approach,a method of comparing projects of different lives by assuming that the projects can be repeated forever,1,Choosing between Projects,osbooks-principles-finance\modules\m00103\index.cnxml,yes,a method of comparing projects of different lives,by assuming that the projects can be repeated forever,,,,
equilibrium,the point at which the demand and supply curves for a good or service intersect,1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the point,at which the demand and supply curves for a good or service intersect,,,,
equilibrium price,the price at which quantity demanded equals quantity supplied,1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the price,at which quantity demanded equals quantity supplied,,,,
equity multiples,metrics that calculate the expected or achieved total return on an initial investment,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,metrics,that calculate the expected or achieved total return on an initial investment,,,,
ESG,"environmental, social, and governance (ESG) standards for a company’s operations that socially conscious investors use to screen potential investments",1,Agency Issues: Shareholders and Corporate Boards,osbooks-principles-finance\modules\m00014\index.cnxml,yes,standards,for a company’s operations that socially conscious investors use to screen potential investments,,,,
European option,an option that the holder can exercise only on the expiration date,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,an option,that the holder can exercise only on the expiration date,,,,
exchange rate,the price of one currency in terms of another currency,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the price of one currency,in terms of another currency,,,,
exercise price (strike price),the price the option holder pays for the underlying asset when exercising an option,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,the price,the option holder pays for the underlying asset when exercising an option,,,,
exercising,choosing to purchase or sell the asset underlying a held option according to the terms of the option contract,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,choosing to purchase or sell the asset underlying a held option,according to the terms of the option contract,,,,
expansion,the part of the business cycle in which GDP is growing,1,Business Cycles and Economic Activity,osbooks-principles-finance\modules\m00020\index.cnxml,yes,the part of the business cycle,in which GDP is growing,,,,
expected value,a weighted average of the values of a variable where the weights are the associated probabilities,1,Probability Distributions,osbooks-principles-finance\modules\m00082\index.cnxml,yes,a weighted average,of the values of a variable where the weights are the associated probabilities,,,,
expense,a cost associated with providing goods or services,1,Cash versus Accrual Accounting,osbooks-principles-finance\modules\m00025\index.cnxml,yes,a cost,associated with providing goods or services,,,,
expense recognition,"(also, matching principle) matches expenses with associated revenues in the period in which the revenues were generated",1,When Should a Company Capitalize or Expense an Item?,osbooks-principles-finance\modules\m00028\index.cnxml,no,,,no genus stated,an accounting principle,that matches expenses with associated revenues in the period in which the revenues were generated,
expenses,costs associated with providing goods or services,1,The Income Statement,osbooks-principles-finance\modules\m00031\index.cnxml,yes,costs,associated with providing goods or services,,,,
expiration date,the date an option contract expires,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,no,,,circular,a specific date,when an option contract ceases to be valid,
exponential distribution,a continuous probability distribution that is useful for calculating probabilities within the time between events,1,Statistical Distributions,osbooks-principles-finance\modules\m00081\index.cnxml,yes,a continuous probability distribution,that is useful for calculating probabilities within the time between events,,,,
factoring,"the process of selling accounts receivables to a financial institution or, in some cases, using the accounts receivables as security for a loan from a financial institution",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,the process,"of selling accounts receivables to a financial institution or, in some cases, using the accounts receivables as security for a loan from a financial institution",,,,
federal funds rate,the rate targeted by the Federal Reserve in the implementation of monetary policy,1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,no,,,no genus stated,interest rate,targeted by the Federal Reserve in the implementation of monetary policy,
Federal Reserve,the central bank system of the United States,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,the central bank system,of the United States,,,,
Federal Reserve funds rate (federal funds rate),"the target interest rate, set by the Federal Reserve, at which commercial banks borrow and lend their excess reserves to each other",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the target interest rate,"set by the Federal Reserve, at which commercial banks borrow and lend their excess reserves to each other",,,,
Federal Reserve System (the Fed),"the central banking system of the United States, responsible for administering fiscal policy for the country",1,Bond Valuation,osbooks-principles-finance\modules\m00062\index.cnxml,yes,the central banking system of the United States,responsible for administering fiscal policy for the country,,,,
financial distress,when a firm has trouble meeting debt obligations,1,Optimal Capital Structure,osbooks-principles-finance\modules\m00110\index.cnxml,yes,when a firm has trouble,meeting debt obligations,,,,
financial industry regulatory authority (FINRA),"an independent, nongovernmental organization that writes and enforces the rules governing registered brokers and broker-dealer firms in the United States",1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,"an independent, nongovernmental organization",that writes and enforces the rules governing registered brokers and broker-dealer firms in the United States,,,,
financial instrument,"an asset or bundle of assets, including monetary contracts between parties, that can be bought, sold, or traded for financial gain",1,Time Value of Money (TVM) Basics,osbooks-principles-finance\modules\m00048\index.cnxml,yes,an asset or bundle of assets,"including monetary contracts between parties, that can be bought, sold, or traded for financial gain",,,,
financial intermediary,"a commercial bank or a mutual fund investment company that serves as an intermediary to enable easier and more efficient exchanges among transacting parties, often accepting one form of financial asset from which they create another, such as taking demand deposits to create mortgage loans",1,Markets and Participants,osbooks-principles-finance\modules\m00006\index.cnxml,no,,,gives an example instead of a genus,an institution or company,"that serves as an intermediary to enable easier and more efficient exchanges among transacting parties, often accepting one form of financial asset from which they create another, such as taking demand deposits to create mortgage loans",
financial leverage,the debt used in a company’s capital structure,1,The Concept of Capital Structure,osbooks-principles-finance\modules\m00106\index.cnxml,yes,the debt,used in a company’s capital structure,,,,
financial markets and institutions,one of the three main areas of the field of finance; firms and regulatory agencies that oversee our financial system,1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,no,,,"multiple definitions, no clear genus for the second part",area of the field of finance,that studies firms and regulatory agencies that oversee our financial system,
financial risk,"the possibility of losing money or purchasing power on an investment, business transaction, or venture or simply due to inflation",1,Time Value of Money (TVM) Basics,osbooks-principles-finance\modules\m00048\index.cnxml,yes,the possibility,"of losing money or purchasing power on an investment, business transaction, or venture or simply due to inflation",,,,
financing activities,cash business transactions reported on the statement of cash flows that reflect the use of financed funds,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,cash business transactions,reported on the statement of cash flows that reflect the use of financed funds,,,,
firm-specific risk,"the risk that an event may impact the expected revenue or costs of a firm, thereby impacting the returns to investors; also known as diversifiable risk",1,Risk and Return to Multiple Assets,osbooks-principles-finance\modules\m00094\index.cnxml,yes,the risk,"that an event may impact the expected revenue or costs of a firm, thereby impacting the returns to investors",,,,
Fisher effect,an economic theory created by economist Irving Fisher that describes the relationship between inflation and both real and nominal interest rates,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,an economic theory,created by economist Irving Fisher that describes the relationship between inflation and both real and nominal interest rates,,,,
fixed-income securities,"investments that provide a return in the form of fixed, periodic interest payments and the eventual return of principal at maturity; the most common forms are bonds",1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,investments,"that provide a return in the form of fixed, periodic interest payments and the eventual return of principal at maturity",,,,
floating-rate bonds,bonds with variable interest rates that allow investors to benefit from rising interest rates,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,bonds,with variable interest rates that allow investors to benefit from rising interest rates,,,,
floor planning,a type of inventory financing whereby a financial institution provides a loan so that the company can acquire inventory with proceeds from the sale of inventory used to pay down the loan; a common method of financing inventory for automobile dealers and sellers of other big-ticket (high-priced) items,1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,a type of inventory financing,whereby a financial institution provides a loan so that the company can acquire inventory with proceeds from the sale of inventory used to pay down the loan,,,,
flotation costs,costs involved in the issuing and placing of new securities,1,Alternative Sources of Funds,osbooks-principles-finance\modules\m00111\index.cnxml,yes,costs,involved in the issuing and placing of new securities,,,,
forecast,an estimate of future performance based on historical performance and other contextual information,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,an estimate,of future performance based on historical performance and other contextual information,,,,
foreign corporation (out of state or out of country),an existing corporation that conducts business in a state or jurisdiction other than where it was originally incorporated,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,an existing corporation,that conducts business in a state or jurisdiction other than where it was originally incorporated,,,,
forward contract,a contractual agreement between two parties to exchange a specified amount of assets on a specified future date,1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,a contractual agreement between two parties,to exchange a specified amount of assets on a specified future date,,,,
free cash flow,"operating cash, reduced by expected capital expenditures",1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,operating cash,reduced by expected capital expenditures,,,,
frequency distribution,a method of organizing and summarizing a data set that provides the frequency with which each value in the data set occurs,1,Statistical Distributions,osbooks-principles-finance\modules\m00081\index.cnxml,yes,a method of organizing and summarizing a data set,that provides the frequency with which each value in the data set occurs,,,,
future value,the value of an asset or holding at a point in the future based on expectations of that asset’s growth at a certain rate of return,1,Timing of Cash Flows,osbooks-principles-finance\modules\m00058\index.cnxml,yes,the value of an asset or holding,at a point in the future based on expectations of that asset’s growth at a certain rate of return,,,,
future value (FV),the value that a current amount will grow to at a given interest rate over a given period of time,1,Time Value of Money (TVM) Basics,osbooks-principles-finance\modules\m00048\index.cnxml,yes,the value,that a current amount will grow to at a given interest rate over a given period of time,,,,
futures contract,a standardized contract to trade an asset on some future date at a price locked in today,1,Commodity Price Risk,osbooks-principles-finance\modules\m00128\index.cnxml,yes,a standardized contract,to trade an asset on some future date at a price locked in today,,,,
gains,increases in organizational value from activities that are “incidental or peripheral” to the primary purpose of the business,2,Economic Basis for Accrual Accounting; The Income Statement,osbooks-principles-finance\modules\m00026\index.cnxml; osbooks-principles-finance\modules\m00031\index.cnxml,yes,increases in organizational value,from activities that are “incidental or peripheral” to the primary purpose of the business,,,,
GDP deflator,"a measure of inflation tracked by the Bureau of Economic Analysis, intended to measure what GDP would be if prices did not change from one year to the next",1,Macroeconomics,osbooks-principles-finance\modules\m00019\index.cnxml,yes,a measure of inflation,"tracked by the Bureau of Economic Analysis, intended to measure what GDP would be if prices did not change from one year to the next",,,,
Generally Accepted Accounting Principles (GAAP),"a common set of accounting principles, standards, and procedures issued by the Financial Accounting Standards Board (FASB)",1,Companies in Domestic and Global Markets,osbooks-principles-finance\modules\m00016\index.cnxml,yes,"a common set of accounting principles, standards, and procedures",issued by the Financial Accounting Standards Board (FASB),,,,
geometric average return,the compound annual return derived from the effective annual rate and time value of money formulas,1,Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00093\index.cnxml,yes,the compound annual return,derived from the effective annual rate and time value of money formulas,,,,
geometric mean,"a measure of center of a data set, calculated by multiplying the data values and then raising the product to the exponent 1n, where n is the number of data values",1,Measures of Center,osbooks-principles-finance\modules\m00078\index.cnxml,yes,a measure of center of a data set,"calculated by multiplying the data values and then raising the product to the exponent 1n, where n is the number of data values",,,,
global markets,"economies or markets that are multinational in nature, spanning several different countries or jurisdictions",1,Companies in Domestic and Global Markets,osbooks-principles-finance\modules\m00016\index.cnxml,yes,economies or markets,"that are multinational in nature, spanning several different countries or jurisdictions",,,,
Gordon growth model,a methodology used to determine the intrinsic value of a stock based on a future series of dividends that grow at a constant rate,1,Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00068\index.cnxml,yes,a methodology,used to determine the intrinsic value of a stock based on a future series of dividends that grow at a constant rate,,,,
gross domestic product (GDP),the market value of all goods and services produced within an economy during a year | the total value of goods produced and services provided in a country during one year,2,Macroeconomics; Applications of TVM in Finance,osbooks-principles-finance\modules\m00019\index.cnxml; osbooks-principles-finance\modules\m00050\index.cnxml,yes,the market value,of all goods and services produced within an economy during a year,,,,
gross working capital,"synonymous with the current assets of a company, those assets that include cash and other assets that can be converted into cash within a period of 12 months",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,no,,,synonymous definition,current assets of a company,those assets that include cash and other assets that can be converted into cash within a period of 12 months,
growing perpetuity,"a stream of periodic payments that is expected to continue indefinitely with growth of the amount paid or received in the future, usually by a fixed percentage",1,Perpetuities,osbooks-principles-finance\modules\m00052\index.cnxml,yes,a stream of periodic payments,"that is expected to continue indefinitely with growth of the amount paid or received in the future, usually by a fixed percentage",,,,
growth rate,the percentage increase of a specific variable within a specific time period; synonymous with interest rate in the context of the time value of money | the rate at which the dollar amount of dividends paid on a specific stock holding increases,2,Time Value of Money (TVM) Basics; Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00048\index.cnxml; osbooks-principles-finance\modules\m00068\index.cnxml,yes,the percentage increase,of a specific variable within a specific time period; synonymous with interest rate in the context of the time value of money | the rate at which the dollar amount of dividends paid on a specific stock holding increases,,,,
hedging,taking an action to reduce exposure to a risk,1,The Importance of Risk Management,osbooks-principles-finance\modules\m00127\index.cnxml,yes,taking an action,to reduce exposure to a risk,,,,
histogram,a graphical display of continuous data showing class intervals on the horizontal axis and frequency or relative frequency on the vertical axis,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,a graphical display,of continuous data showing class intervals on the horizontal axis and frequency or relative frequency on the vertical axis,,,,
holding period percentage return,"the gain received from holding a stock, calculated by adding the amount received when the stock is sold to any dividends earned while holding the stock, subtracting the price originally paid for the stock, then dividing the difference by the price originally paid",1,Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00093\index.cnxml,no,,,no genus stated,a financial metric,"that measures the gain received from holding a stock, calculated by adding the amount received when the stock is sold to any dividends earned while holding the stock, subtracting the price originally paid for the stock, then dividing the difference by the price originally paid",
hybrid form of business,a limited liability company (LLC) or limited liability partnership (LLP) that combines the characteristics of a corporation with those of a sole proprietorship or partnership,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a limited liability company (LLC) or limited liability partnership (LLP),that combines the characteristics of a corporation with those of a sole proprietorship or partnership,,,,
income statement,a financial statement that measures the organization’s financial performance for a given period of time | financial statement that measures the organization’s financial performance for a given period of time | a financial statement that measures a firm’s financial performance over a given period of time,3,Economic Basis for Accrual Accounting; The Income Statement; The Importance of Forecasting,osbooks-principles-finance\modules\m00026\index.cnxml; osbooks-principles-finance\modules\m00031\index.cnxml; osbooks-principles-finance\modules\m00113\index.cnxml,yes,a financial statement,that measures the organization’s financial performance for a given period of time,,,,
indenture,legal term for a bond contract,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,legal term,for a bond contract,,,,
indirect method,"approach used to determine net cash flows from operating activities, starting with net income and adjusting for items that impact new income but do not require outlay of cash",1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,approach,"used to determine net cash flows from operating activities, starting with net income and adjusting for items that impact new income but do not require outlay of cash",,,,
inflation,a general increase in prices | a general increase in prices and a reduction in purchasing power; expected rate is a key component of interest rates,2,Macroeconomics; Overview of US Financial Markets,osbooks-principles-finance\modules\m00019\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,a general increase,in prices and a reduction in purchasing power,,,,
inflation risk,the risk of reduced purchasing power of goods and services due to rising prices,1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,the risk,of reduced purchasing power of goods and services due to rising prices,,,,
initial public offering (IPO),the first time a firm offers stock to the public,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,the first time,a firm offers stock to the public,,,,
intangible assets,"assets that are not physical in nature, such as goodwill, brand recognition, and intellectual property (i.e., patents, trademarks, and copyrights)",1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,assets,"that are not physical in nature, such as goodwill, brand recognition, and intellectual property (i.e., patents, trademarks, and copyrights)",,,,
interest,"the amount of money that is paid by a borrower to a lender for the use of their money, typically calculated from an annualized rate",1,Now versus Later Concepts,osbooks-principles-finance\modules\m00047\index.cnxml,yes,the amount of money,"that is paid by a borrower to a lender for the use of their money, typically calculated from an annualized rate",,,,
interest income,"annual interest amounts paid, or coupon payments made, on a bond between its issue date and the date of maturity",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,"annual interest amounts paid, or coupon payments made",on a bond between its issue date and the date of maturity,,,,
interest rate risk,the risk of investment losses that result from changes in interest rates,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk of investment losses,that result from changes in interest rates,,,,
interest tax shield,the reduction in taxes paid because interest payments on debt are a tax-deductible expense; calculated as the corporate tax rate multiplied by interest payments,1,Capital Structure Choices,osbooks-principles-finance\modules\m00109\index.cnxml,yes,the reduction in taxes paid,because interest payments on debt are a tax-deductible expense; calculated as the corporate tax rate multiplied by interest payments,,,,
internal rate of return (IRR),the discount rate that sets the NPV of a project equal to zero,1,Internal Rate of Return (IRR) Method,osbooks-principles-finance\modules\m00101\index.cnxml,yes,the discount rate,that sets the NPV of a project equal to zero,,,,
International Financial Reporting Standards (IFRS),"accounting standards used by international corporations, issued by the IFRS Foundation and the International Accounting Standards Board",1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,accounting standards,"used by international corporations, issued by the IFRS Foundation and the International Accounting Standards Board",,,,
interquartile range (IQR),"a number that indicates the spread of the middle half, or middle 50%, of the data; the difference between the third quartile (Q3) and the first quartile (Q1)",1,Measures of Position,osbooks-principles-finance\modules\m00080\index.cnxml,yes,a number,"that indicates the spread of the middle half, or middle 50%, of the data; the difference between the third quartile (Q3) and the first quartile (Q1)",,,,
intrinsic value,"the value of a firm’s stock based entirely on internal factors, such as products, management, and the strength of company brands in the marketplace",1,Dividend Discount Models (DDMs),osbooks-principles-finance\modules\m00068\index.cnxml,yes,the value of a firm’s stock,"based entirely on internal factors, such as products, management, and the strength of company brands in the marketplace",,,,
inventory turnover,measures the number of times an average quantity of inventory was bought and sold during the period,1,Operating Efficiency Ratios,osbooks-principles-finance\modules\m00041\index.cnxml,yes,a measure,of the number of times an average quantity of inventory was bought and sold during the period,,,,
investing activities,cash business transactions reported on the statement of cash flows that reflect the acquisition or disposal of long-term assets,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,cash business transactions reported on the statement of cash flows,that reflect the acquisition or disposal of long-term assets,,,,
investment,an asset or item acquired with the goal of generating financial gain through increased income or appreciation in value,1,Now versus Later Concepts,osbooks-principles-finance\modules\m00047\index.cnxml,yes,an asset or item,acquired with the goal of generating financial gain through increased income or appreciation in value,,,,
