genus_1,genus_2,genus_1_normalized,genus_2_normalized,edit_similarity,jaccard_similarity,llm_relationship
a method for valuating a company,the face value of a convertible bond,method for valuating a company,face value of a convertible bond,0.1562,0.0,DIFFERENT
a method for valuating a company,the first time,method for valuating a company,first time,0.1667,0.0,DIFFERENT
a method for valuating a company,the horizontal axis,method for valuating a company,horizontal axis,0.2333,0.0,DIFFERENT
a method for valuating a company,the increase in a capital asset’s value,method for valuating a company,increase in a capital assets value,0.1765,0.0,DIFFERENT
a method for valuating a company,the interest rate,method for valuating a company,interest rate,0.1667,0.0,DIFFERENT
a method for valuating a company,the length of time,method for valuating a company,length of time,0.2333,0.0,DIFFERENT
a method for valuating a company,the market,method for valuating a company,market,0.1,0.0,DIFFERENT
a method for valuating a company,the market value,method for valuating a company,market value,0.2,0.0,DIFFERENT
a method for valuating a company,the measure,method for valuating a company,measure,0.1333,0.0,DIFFERENT
a method for valuating a company,the measure of the spread of data values,method for valuating a company,measure of the spread of data value,0.2286,0.0,DIFFERENT
a method for valuating a company,the measure of the volatility of a stock,method for valuating a company,measure of the volatility of a stock,0.3056,0.0,DIFFERENT
a method for valuating a company,the merger of a company,method for valuating a company,merger of a company,0.4667,0.25,DIFFERENT
a method for valuating a company,the middle value,method for valuating a company,middle value,0.2333,0.0,DIFFERENT
a method for valuating a company,the minimum amount of return,method for valuating a company,minimum amount of return,0.2,0.0,DIFFERENT
a method for valuating a company,the minimum return,method for valuating a company,minimum return,0.1333,0.0,DIFFERENT
a method for valuating a company,the mix of financing,method for valuating a company,mix of financing,0.3,0.0,DIFFERENT
a method for valuating a company,the network of participants and activities,method for valuating a company,network of participants and activity,0.3611,0.0,DIFFERENT
a method for valuating a company,the number of days,method for valuating a company,number of day,0.1667,0.0,DIFFERENT
a method for valuating a company,the number of shares of common stock,method for valuating a company,number of shares of common stock,0.1875,0.0,DIFFERENT
a method for valuating a company,the part of the business cycle,method for valuating a company,part of the business cycle,0.2667,0.0,DIFFERENT
a method for valuating a company,the percentage increase,method for valuating a company,percentage increase,0.2,0.0,DIFFERENT
a method for valuating a company,the period,method for valuating a company,period,0.1333,0.0,DIFFERENT
a method for valuating a company,the periodic dollar value of interest,method for valuating a company,periodic dollar value of interest,0.303,0.0,DIFFERENT
a method for valuating a company,the person,method for valuating a company,person,0.1333,0.0,DIFFERENT
a method for valuating a company,the point,method for valuating a company,point,0.1,0.0,DIFFERENT
a method for valuating a company,the possibility,method for valuating a company,possibility,0.1333,0.0,DIFFERENT
a method for valuating a company,the present value of cash inflows divided by the present value of cash outflows,method for valuating a company,present value of cash inflows divided by the present value of cash outflow,0.2027,0.0,RELATED
a method for valuating a company,the present value of the cash inflows of a project,method for valuating a company,present value of the cash inflows of a project,0.2174,0.0,RELATED
a method for valuating a company,"the present, discounted value",method for valuating a company,present discounted value,0.1333,0.0,RELATED
a method for valuating a company,the price,method for valuating a company,price,0.1,0.0,DIFFERENT
a method for valuating a company,the price of one currency,method for valuating a company,price of one currency,0.2333,0.0,DIFFERENT
a method for valuating a company,the primary system,method for valuating a company,primary system,0.1,0.0,DIFFERENT
a method for valuating a company,the principle,method for valuating a company,principle,0.1667,0.0,DIFFERENT
a method for valuating a company,the process,method for valuating a company,process,0.0667,0.0,RELATED
a method for valuating a company,the process of performance analysis,method for valuating a company,process of performance analysis,0.129,0.0,RELATED
a method for valuating a company,the process of spreading business costs in accounting,method for valuating a company,process of spreading business costs in accounting,0.2449,0.0,DIFFERENT
a method for valuating a company,the quantity of a good or service,method for valuating a company,quantity of a good or service,0.1333,0.0,DIFFERENT
a method for valuating a company,the reduction in taxes paid,method for valuating a company,reduction in taxes paid,0.2667,0.0,DIFFERENT
a method for valuating a company,the resources,method for valuating a company,resource,0.1333,0.0,DIFFERENT
a method for valuating a company,the risk,method for valuating a company,risk,0.0667,0.0,DIFFERENT
a method for valuating a company,the risk of investment losses,method for valuating a company,risk of investment loss,0.2,0.0,DIFFERENT
a method for valuating a company,the risk taken by a bond investor,method for valuating a company,risk taken by a bond investor,0.1,0.0,DIFFERENT
a method for valuating a company,the scheduling of periodic repayment of a debt,method for valuating a company,scheduling of periodic repayment of a debt,0.1667,0.0,DIFFERENT
a method for valuating a company,the study and application,method for valuating a company,study and application,0.2667,0.0,DIFFERENT
a method for valuating a company,the study of the economy,method for valuating a company,study of the economy,0.3,0.0,DIFFERENT
a method for valuating a company,the study of the economy as a whole,method for valuating a company,study of the economy as a whole,0.1935,0.0,DIFFERENT
a method for valuating a company,the sum of all cash flows received from an investment,method for valuating a company,sum of all cash flows received from an investment,0.2041,0.0,DIFFERENT
a method for valuating a company,the sum of an asset’s annual returns over a number of years,method for valuating a company,sum of an assets annual returns over a number of year,0.2264,0.0,DIFFERENT
a method for valuating a company,the target interest rate,method for valuating a company,target interest rate,0.1667,0.0,DIFFERENT
a method for valuating a company,the terms that are part of a sales credit agreement,method for valuating a company,terms that are part of a sales credit agreement,0.2553,0.0,DIFFERENT
a method for valuating a company,the time period,method for valuating a company,time period,0.1667,0.0,DIFFERENT
a method for valuating a company,the total amount of capital,method for valuating a company,total amount of capital,0.2333,0.0,DIFFERENT
a method for valuating a company,the total assets of a company,method for valuating a company,total assets of a company,0.4667,0.2,DIFFERENT
a method for valuating a company,the total dollar value of legal tender,method for valuating a company,total dollar value of legal tender,0.2647,0.0,DIFFERENT
a method for valuating a company,the total return,method for valuating a company,total return,0.2,0.0,DIFFERENT
a method for valuating a company,the value,method for valuating a company,value,0.1333,0.0,RELATED
a method for valuating a company,the value of a company traded on the stock market,method for valuating a company,value of a company traded on the stock market,0.2,0.125,RELATED
a method for valuating a company,the value of a firm’s stock,method for valuating a company,value of a firms stock,0.2,0.0,RELATED
a method for valuating a company,the value of an asset,method for valuating a company,value of an asset,0.2333,0.0,RELATED
a method for valuating a company,the value of an asset or holding,method for valuating a company,value of an asset or holding,0.2667,0.0,RELATED
a method for valuating a company,the vertical axis,method for valuating a company,vertical axis,0.1667,0.0,DIFFERENT
a method for valuating a company,the world’s largest stock exchange by market capitalization of its listed companies,method for valuating a company,worlds largest stock exchange by market capitalization of its listed company,0.2763,0.0833,DIFFERENT
a method for valuating a company,the yield,method for valuating a company,yield,0.0333,0.0,DIFFERENT
a method for valuating a company,total book value (assets – liabilities) of a firm,method for valuating a company,total book value assets – liabilities of a firm,0.2766,0.0,DIFFERENT
a method for valuating a company,US government debt obligations,method for valuating a company,us government debt obligation,0.0667,0.0,DIFFERENT
a method for valuating a company,very large CDs,method for valuating a company,very large cds,0.2333,0.0,DIFFERENT
a method for valuating a company,when a firm has trouble,method for valuating a company,when a firm has trouble,0.2,0.0,DIFFERENT
a method for valuating a company,when an issuer fails to make scheduled interest or principal payments,method for valuating a company,when an issuer fails to make scheduled interest or principal payment,0.2206,0.0,DIFFERENT
a method of accounting,a method of comparing projects of different lives,method of accounting,method of comparing projects of different live,0.3478,0.1667,DIFFERENT
a method of accounting,a method of comparing projects of differing lives,method of accounting,method of comparing projects of differing live,0.3478,0.1667,DIFFERENT
a method of accounting,a method of organizing and summarizing a data set,method of accounting,method of organizing and summarizing a data set,0.3191,0.1429,DIFFERENT
a method of accounting,a methodology,method of accounting,methodology,0.4,0.0,A_SUBSUMES_B
a method of accounting,a metric,method of accounting,metric,0.2,0.0,DIFFERENT
a method of accounting,a municipal or corporate bond,method of accounting,municipal or corporate bond,0.2593,0.0,DIFFERENT
a method of accounting,a nonprofit corporation,method of accounting,nonprofit corporation,0.1905,0.0,DIFFERENT
a method of accounting,a number,method of accounting,number,0.05,0.0,DIFFERENT
a method of accounting,a partnership,method of accounting,partnership,0.05,0.0,DIFFERENT
a method of accounting,a payment,method of accounting,payment,0.15,0.0,DIFFERENT
a method of accounting,a period,method of accounting,period,0.15,0.0,DIFFERENT
a method of accounting,a person,method of accounting,person,0.15,0.0,DIFFERENT
a method of accounting,a person or an entity,method of accounting,person or an entity,0.45,0.0,DIFFERENT
a method of accounting,a principle,method of accounting,principle,0.05,0.0,DIFFERENT
a method of accounting,a procedure,method of accounting,procedure,0.15,0.0,RELATED
a method of accounting,a quantitative method,method of accounting,quantitative method,0.05,0.3333,A_SUBSUMES_B
a method of accounting,a ratio,method of accounting,ratio,0.15,0.0,DIFFERENT
a method of accounting,a reason for holding an amount of cash,method of accounting,reason for holding an amount of cash,0.2778,0.0,DIFFERENT
a method of accounting,a record of financial information,method of accounting,record of financial information,0.3548,0.0,RELATED
a method of accounting,a report,method of accounting,report,0.15,0.0,DIFFERENT
a method of accounting,a reward-to-risk measure of portfolio performance,method of accounting,reward to risk measure of portfolio performance,0.2128,0.0,DIFFERENT
a method of accounting,a risk,method of accounting,risk,0.05,0.0,DIFFERENT
a method of accounting,a rule,method of accounting,rule,0.05,0.0,RELATED
a method of accounting,a security,method of accounting,security,0.2,0.0,DIFFERENT
a method of accounting,a set of cash flows over a period of time,method of accounting,set of cash flows over a period of time,0.2821,0.0,DIFFERENT
a method of accounting,a set of formal documents,method of accounting,set of formal document,0.3636,0.0,DIFFERENT
a method of accounting,a single cash payment,method of accounting,single cash payment,0.1,0.0,DIFFERENT
a method of accounting,a specific type of Delaware general corporation,method of accounting,specific type of delaware general corporation,0.2444,0.0,DIFFERENT
a method of accounting,a standardized contract,method of accounting,standardized contract,0.1905,0.0,DIFFERENT
a method of accounting,a stock valuation indicator or multiple,method of accounting,stock valuation indicator or multiple,0.2162,0.0,DIFFERENT
a method of accounting,a strategic management responsibility,method of accounting,strategic management responsibility,0.1714,0.0,DIFFERENT
a method of accounting,a stream of periodic payments,method of accounting,stream of periodic payment,0.2308,0.0,DIFFERENT
a method of accounting,"a stream of regular, periodic payments",method of accounting,stream of regular periodic payment,0.2059,0.0,DIFFERENT
a method of accounting,a subdivision of the National Bureau of Economic Research (NBER),method of accounting,subdivision of the national bureau of economic research nber,0.1833,0.0,DIFFERENT
a method of accounting,a sum of money,method of accounting,sum of money,0.3,0.0,DIFFERENT
a method of accounting,a theory,method of accounting,theory,0.15,0.0,DIFFERENT
a method of accounting,a type of inventory financing,method of accounting,type of inventory financing,0.2963,0.0,DIFFERENT
a method of accounting,a type of score,method of accounting,type of score,0.35,0.0,DIFFERENT
a method of accounting,a US-specific form of a private limited company; a business structure,method of accounting,us specific form of a private limited company a business structure,0.1818,0.0,DIFFERENT
a method of accounting,a weighted average,method of accounting,weighted average,0.15,0.0,DIFFERENT
a method of accounting,ability,method of accounting,ability,0.1,0.0,DIFFERENT
a method of accounting,accounting standards,method of accounting,accounting standard,0.1,0.3333,RELATED
a method of accounting,accounting system,method of accounting,accounting system,0.15,0.3333,RELATED
a method of accounting,all costs associated with having inventory in stock,method of accounting,all costs associated with having inventory in stock,0.1961,0.0,DIFFERENT
a method of accounting,amount of time,method of accounting,amount of time,0.3,0.0,DIFFERENT
a method of accounting,an account,method of accounting,account,0.35,0.0,DIFFERENT
a method of accounting,an accounting method,method of accounting,accounting method,0.15,1.0,EQUIVALENT
a method of accounting,an accounting system,method of accounting,accounting system,0.15,0.3333,RELATED
a method of accounting,an agreement,method of accounting,agreement,0.1,0.0,DIFFERENT
a method of accounting,an agreement between two parties,method of accounting,agreement between two party,0.1481,0.0,DIFFERENT
a method of accounting,an American stock exchange,method of accounting,american stock exchange,0.2174,0.0,DIFFERENT
a method of accounting,an asset,method of accounting,asset,0.1,0.0,DIFFERENT
a method of accounting,an asset or bundle of assets,method of accounting,asset or bundle of asset,0.2083,0.0,DIFFERENT
a method of accounting,an asset or item,method of accounting,asset or item,0.2,0.0,DIFFERENT
a method of accounting,an economic theory,method of accounting,economic theory,0.2,0.0,DIFFERENT
a method of accounting,an equation of the form y^=a+bx,method of accounting,equation of the form y^=a+bx,0.25,0.0,DIFFERENT
a method of accounting,an estimate,method of accounting,estimate,0.15,0.0,DIFFERENT
a method of accounting,an excess,method of accounting,excess,0.1,0.0,DIFFERENT
a method of accounting,an executive-level officer,method of accounting,executive level officer,0.1739,0.0,DIFFERENT
a method of accounting,an existing corporation,method of accounting,existing corporation,0.2,0.0,DIFFERENT
a method of accounting,an expense,method of accounting,expense,0.1,0.0,DIFFERENT
a method of accounting,"an independent, nongovernmental organization",method of accounting,independent nongovernmental organization,0.225,0.0,DIFFERENT
a method of accounting,an individual or institution,method of accounting,individual or institution,0.24,0.0,DIFFERENT
a method of accounting,an initial shareholder of a company at the time of its incorporation,method of accounting,initial shareholder of a company at the time of its incorporation,0.2308,0.0,DIFFERENT
a method of accounting,an official statement,method of accounting,official statement,0.1,0.0,DIFFERENT
a method of accounting,an opportunity cost,method of accounting,opportunity cost,0.15,0.0,DIFFERENT
a method of accounting,an option,method of accounting,option,0.15,0.0,DIFFERENT
a method of accounting,analysis,method of accounting,analysis,0.1,0.0,DIFFERENT
a method of accounting,"annual interest amounts paid, or coupon payments made",method of accounting,annual interest amounts paid or coupon payments made,0.1923,0.0,DIFFERENT
a method of accounting,approach,method of accounting,approach,0.15,0.0,B_SUBSUMES_A
a method of accounting,asset,method of accounting,asset,0.1,0.0,DIFFERENT
a method of accounting,assets,method of accounting,asset,0.1,0.0,DIFFERENT
a method of accounting,attempting to profit,method of accounting,attempting to profit,0.1,0.0,DIFFERENT
a method of accounting,bond issued by a corporation,method of accounting,bond issued by a corporation,0.2857,0.0,DIFFERENT
a method of accounting,bonds,method of accounting,bond,0.1,0.0,DIFFERENT
a method of accounting,cash business transactions,method of accounting,cash business transaction,0.16,0.0,DIFFERENT
a method of accounting,cash business transactions reported on the statement of cash flows,method of accounting,cash business transactions reported on the statement of cash flow,0.1538,0.0,DIFFERENT
a method of accounting,choosing to purchase or sell the asset underlying a held option,method of accounting,choosing to purchase or sell the asset underlying a held option,0.1746,0.0,DIFFERENT
a method of accounting,costs,method of accounting,cost,0.15,0.0,DIFFERENT
a method of accounting,credit,method of accounting,credit,0.1,0.0,DIFFERENT
a method of accounting,"cumulative, undistributed net income or net loss",method of accounting,cumulative undistributed net income or net loss,0.2128,0.0,DIFFERENT
a method of accounting,data,method of accounting,data,0.15,0.0,DIFFERENT
a method of accounting,data value,method of accounting,data value,0.2,0.0,DIFFERENT
a method of accounting,data values,method of accounting,data value,0.2,0.0,DIFFERENT
a method of accounting,debt or obligation,method of accounting,debt or obligation,0.3,0.0,DIFFERENT
a method of accounting,debt securities,method of accounting,debt security,0.25,0.0,DIFFERENT
a method of accounting,decrease in organizational value,method of accounting,decrease in organizational value,0.1875,0.0,DIFFERENT
a method of accounting,decreases in organizational value,method of accounting,decreases in organizational value,0.2121,0.0,DIFFERENT
a method of accounting,discount,method of accounting,discount,0.3,0.0,DIFFERENT
a method of accounting,economies or markets,method of accounting,economies or market,0.1,0.0,DIFFERENT
a method of accounting,equity,method of accounting,equity,0.15,0.0,DIFFERENT
a method of accounting,equity in a firm,method of accounting,equity in a firm,0.2,0.0,DIFFERENT
a method of accounting,expenses,method of accounting,expense,0.1,0.0,DIFFERENT
a method of accounting,extra return,method of accounting,extra return,0.2,0.0,DIFFERENT
a method of accounting,facilitate a market and the trading of securities,method of accounting,facilitate a market and the trading of security,0.2128,0.0,DIFFERENT
a method of accounting,federal court procedures,method of accounting,federal court procedure,0.1739,0.0,DIFFERENT
a method of accounting,financial markets,method of accounting,financial market,0.1,0.0,DIFFERENT
a method of accounting,financial obligations,method of accounting,financial obligation,0.15,0.0,DIFFERENT
a method of accounting,financial statement,method of accounting,financial statement,0.1,0.0,RELATED
a method of accounting,fixed-income corporate debt securities,method of accounting,fixed income corporate debt security,0.1944,0.0,DIFFERENT
a method of accounting,framework for financial analysis,method of accounting,framework for financial analysis,0.25,0.0,DIFFERENT
a method of accounting,government debt instruments,method of accounting,government debt instrument,0.1923,0.0,DIFFERENT
a method of accounting,grades,method of accounting,grade,0.05,0.0,DIFFERENT
a method of accounting,graphical display,method of accounting,graphical display,0.05,0.0,DIFFERENT
a method of accounting,holding,method of accounting,holding,0.25,0.0,DIFFERENT
a method of accounting,income,method of accounting,income,0.1,0.0,DIFFERENT
a method of accounting,increases in organizational value,method of accounting,increases in organizational value,0.1818,0.0,DIFFERENT
a method of accounting,independent service agencies,method of accounting,independent service agency,0.1923,0.0,DIFFERENT
a method of accounting,individual,method of accounting,individual,0.1,0.0,DIFFERENT
a method of accounting,individuals or a firm,method of accounting,individuals or a firm,0.0952,0.0,DIFFERENT
a method of accounting,inflows or other enhancements of assets of an entity or settlements of its liabilities (or a combination of both),method of accounting,inflows or other enhancements of assets of an entity or settlements of its liabilities or a combination of both,0.1351,0.0,DIFFERENT
a method of accounting,inventory management method,method of accounting,inventory management method,0.2222,0.25,A_SUBSUMES_B
a method of accounting,investment companies,method of accounting,investment company,0.15,0.0,DIFFERENT
a method of accounting,investments,method of accounting,investment,0.1,0.0,DIFFERENT
a method of accounting,large CDs issued by financial institutions,method of accounting,large cds issued by financial institution,0.2195,0.0,DIFFERENT
a method of accounting,legal term,method of accounting,legal term,0.15,0.0,DIFFERENT
a method of accounting,liabilities,method of accounting,liability,0.1,0.0,DIFFERENT
a method of accounting,long-term debt obligations,method of accounting,long term debt obligation,0.2,0.0,DIFFERENT
a method of accounting,long-term debt obligations issued by the US government,method of accounting,long term debt obligations issued by the us government,0.1852,0.0,DIFFERENT
a method of accounting,market,method of accounting,market,0.15,0.0,DIFFERENT
a method of accounting,market for longer-term financial instruments,method of accounting,market for longer term financial instrument,0.2791,0.0,DIFFERENT
a method of accounting,markets,method of accounting,market,0.15,0.0,DIFFERENT
a method of accounting,measures,method of accounting,measure,0.2,0.0,DIFFERENT
a method of accounting,members of the labor force,method of accounting,members of the labor force,0.2692,0.0,DIFFERENT
a method of accounting,method of accounting,method of accounting,method of accounting,1.0,1.0,EQUIVALENT
a method of accounting,metrics,method of accounting,metric,0.2,0.0,DIFFERENT
a method of accounting,minimum balance of cash,method of accounting,minimum balance of cash,0.2174,0.0,DIFFERENT
a method of accounting,monetary legal settlements,method of accounting,monetary legal settlement,0.28,0.0,DIFFERENT
a method of accounting,numbers,method of accounting,number,0.05,0.0,DIFFERENT
a method of accounting,numerical values taken from financial statements,method of accounting,numerical values taken from financial statement,0.2128,0.0,DIFFERENT
a method of accounting,one of the three main areas of finance,method of accounting,one of the three main areas of finance,0.2368,0.0,DIFFERENT
a method of accounting,operating cash,method of accounting,operating cash,0.1,0.0,DIFFERENT
a method of accounting,paired data,method of accounting,paired data,0.2,0.0,DIFFERENT
a method of accounting,part of Securities and Exchange Commission (SEC) Rule 415,method of accounting,part of securities and exchange commission sec rule 415,0.1818,0.0,DIFFERENT
a method of accounting,portion of the net worth (equity),method of accounting,portion of the net worth equity,0.2581,0.0,DIFFERENT
a method of accounting,position,method of accounting,position,0.15,0.0,DIFFERENT
a method of accounting,principle,method of accounting,principle,0.05,0.0,DIFFERENT
a method of accounting,probable future sacrifice of economic benefits,method of accounting,probable future sacrifice of economic benefit,0.2,0.0,DIFFERENT
a method of accounting,projects,method of accounting,project,0.15,0.0,DIFFERENT
a method of accounting,ratio,method of accounting,ratio,0.15,0.0,DIFFERENT
a method of accounting,ratios,method of accounting,ratio,0.15,0.0,DIFFERENT
a method of accounting,residual interest,method of accounting,residual interest,0.15,0.0,DIFFERENT
a method of accounting,risk,method of accounting,risk,0.05,0.0,DIFFERENT
a method of accounting,seller,method of accounting,seller,0.05,0.0,DIFFERENT
a method of accounting,shares of ownership in a corporation,method of accounting,shares of ownership in a corporation,0.2778,0.0,DIFFERENT
a method of accounting,short-term debt obligations,method of accounting,short term debt obligation,0.1923,0.0,DIFFERENT
a method of accounting,sources of financing,method of accounting,sources of financing,0.35,0.0,DIFFERENT
a method of accounting,standards,method of accounting,standard,0.15,0.0,DIFFERENT
a method of accounting,state officials,method of accounting,state official,0.3,0.0,DIFFERENT
a method of accounting,system,method of accounting,system,0.05,0.0,RELATED
a method of accounting,taking an action,method of accounting,taking an action,0.3,0.0,DIFFERENT
a method of accounting,tangible or intangible resources,method of accounting,tangible or intangible resource,0.129,0.0,DIFFERENT
a method of accounting,the actual return,method of accounting,actual return,0.2,0.0,DIFFERENT
a method of accounting,the amount,method of accounting,amount,0.25,0.0,DIFFERENT
a method of accounting,the amount of money,method of accounting,amount of money,0.3,0.0,DIFFERENT
a method of accounting,the average of a firm’s debt and equity costs of capital,method of accounting,average of a firms debt and equity costs of capital,0.1765,0.0,DIFFERENT
a method of accounting,the central bank system,method of accounting,central bank system,0.15,0.0,DIFFERENT
a method of accounting,the central banking system of the United States,method of accounting,central banking system of the united state,0.2143,0.0,DIFFERENT
a method of accounting,the collateral,method of accounting,collateral,0.1,0.0,DIFFERENT
a method of accounting,the compound annual return,method of accounting,compound annual return,0.1818,0.0,DIFFERENT
a method of accounting,the concept,method of accounting,concept,0.15,0.0,DIFFERENT
a method of accounting,the continual addition of interest,method of accounting,continual addition of interest,0.1667,0.0,DIFFERENT
a method of accounting,the current value of a future amount,method of accounting,current value of a future amount,0.2812,0.0,DIFFERENT
a method of accounting,the date,method of accounting,date,0.15,0.0,DIFFERENT
a method of accounting,the debt,method of accounting,debt,0.1,0.0,DIFFERENT
a method of accounting,"the development, oversight, and management",method of accounting,development oversight and management,0.2222,0.0,DIFFERENT
a method of accounting,the difference,method of accounting,difference,0.15,0.0,DIFFERENT
a method of accounting,the discount rate,method of accounting,discount rate,0.2,0.0,DIFFERENT
a method of accounting,the expected return of a security,method of accounting,expected return of a security,0.2759,0.0,DIFFERENT
a method of accounting,the face value of a convertible bond,method of accounting,face value of a convertible bond,0.3438,0.0,DIFFERENT
a method of accounting,the first time,method of accounting,first time,0.15,0.0,DIFFERENT
a method of accounting,the horizontal axis,method of accounting,horizontal axis,0.2,0.0,DIFFERENT
a method of accounting,the increase in a capital asset’s value,method of accounting,increase in a capital assets value,0.1471,0.0,DIFFERENT
a method of accounting,the interest rate,method of accounting,interest rate,0.15,0.0,DIFFERENT
a method of accounting,the length of time,method of accounting,length of time,0.35,0.0,DIFFERENT
a method of accounting,the market,method of accounting,market,0.15,0.0,DIFFERENT
a method of accounting,the market value,method of accounting,market value,0.2,0.0,DIFFERENT
a method of accounting,the measure,method of accounting,measure,0.2,0.0,DIFFERENT
a method of accounting,the measure of the spread of data values,method of accounting,measure of the spread of data value,0.2571,0.0,DIFFERENT
a method of accounting,the measure of the volatility of a stock,method of accounting,measure of the volatility of a stock,0.25,0.0,DIFFERENT
a method of accounting,the merger of a company,method of accounting,merger of a company,0.5,0.0,DIFFERENT
a method of accounting,the middle value,method of accounting,middle value,0.2,0.0,DIFFERENT
a method of accounting,the minimum amount of return,method of accounting,minimum amount of return,0.1667,0.0,DIFFERENT
a method of accounting,the minimum return,method of accounting,minimum return,0.2,0.0,DIFFERENT
a method of accounting,the mix of financing,method of accounting,mix of financing,0.45,0.0,DIFFERENT
a method of accounting,the network of participants and activities,method of accounting,network of participants and activity,0.3333,0.0,DIFFERENT
a method of accounting,the number of days,method of accounting,number of day,0.2,0.0,DIFFERENT
a method of accounting,the number of shares of common stock,method of accounting,number of shares of common stock,0.2812,0.0,DIFFERENT
a method of accounting,the part of the business cycle,method of accounting,part of the business cycle,0.1538,0.0,DIFFERENT
a method of accounting,the percentage increase,method of accounting,percentage increase,0.1,0.0,DIFFERENT
a method of accounting,the period,method of accounting,period,0.15,0.0,DIFFERENT
a method of accounting,the periodic dollar value of interest,method of accounting,periodic dollar value of interest,0.303,0.0,DIFFERENT
a method of accounting,the person,method of accounting,person,0.15,0.0,DIFFERENT
a method of accounting,the point,method of accounting,point,0.15,0.0,DIFFERENT
a method of accounting,the possibility,method of accounting,possibility,0.1,0.0,DIFFERENT
a method of accounting,the present value of cash inflows divided by the present value of cash outflows,method of accounting,present value of cash inflows divided by the present value of cash outflow,0.1622,0.0,DIFFERENT
a method of accounting,the present value of the cash inflows of a project,method of accounting,present value of the cash inflows of a project,0.1957,0.0,DIFFERENT
a method of accounting,"the present, discounted value",method of accounting,present discounted value,0.2083,0.0,DIFFERENT
a method of accounting,the price,method of accounting,price,0.05,0.0,DIFFERENT
a method of accounting,the price of one currency,method of accounting,price of one currency,0.2381,0.0,DIFFERENT
a method of accounting,the primary system,method of accounting,primary system,0.1,0.0,DIFFERENT
a method of accounting,the principle,method of accounting,principle,0.05,0.0,DIFFERENT
a method of accounting,the process,method of accounting,process,0.1,0.0,DIFFERENT
a method of accounting,the process of performance analysis,method of accounting,process of performance analysis,0.2258,0.0,DIFFERENT
a method of accounting,the process of spreading business costs in accounting,method of accounting,process of spreading business costs in accounting,0.3265,0.1429,RELATED
a method of accounting,the quantity of a good or service,method of accounting,quantity of a good or service,0.2759,0.0,DIFFERENT
a method of accounting,the reduction in taxes paid,method of accounting,reduction in taxes paid,0.2609,0.0,DIFFERENT
a method of accounting,the resources,method of accounting,resource,0.15,0.0,DIFFERENT
a method of accounting,the risk,method of accounting,risk,0.05,0.0,DIFFERENT
a method of accounting,the risk of investment losses,method of accounting,risk of investment loss,0.1739,0.0,DIFFERENT
a method of accounting,the risk taken by a bond investor,method of accounting,risk taken by a bond investor,0.2414,0.0,DIFFERENT
a method of accounting,the scheduling of periodic repayment of a debt,method of accounting,scheduling of periodic repayment of a debt,0.1905,0.0,DIFFERENT
a method of accounting,the study and application,method of accounting,study and application,0.2381,0.0,DIFFERENT
a method of accounting,the study of the economy,method of accounting,study of the economy,0.25,0.0,DIFFERENT
a method of accounting,the study of the economy as a whole,method of accounting,study of the economy as a whole,0.1935,0.0,DIFFERENT
a method of accounting,the sum of all cash flows received from an investment,method of accounting,sum of all cash flows received from an investment,0.2041,0.0,DIFFERENT
a method of accounting,the sum of an asset’s annual returns over a number of years,method of accounting,sum of an assets annual returns over a number of year,0.1509,0.0,DIFFERENT
a method of accounting,the target interest rate,method of accounting,target interest rate,0.05,0.0,DIFFERENT
a method of accounting,the terms that are part of a sales credit agreement,method of accounting,terms that are part of a sales credit agreement,0.234,0.0,DIFFERENT
a method of accounting,the time period,method of accounting,time period,0.15,0.0,DIFFERENT
a method of accounting,the total amount of capital,method of accounting,total amount of capital,0.2174,0.0,DIFFERENT
a method of accounting,the total assets of a company,method of accounting,total assets of a company,0.32,0.0,DIFFERENT
a method of accounting,the total dollar value of legal tender,method of accounting,total dollar value of legal tender,0.2353,0.0,DIFFERENT
a method of accounting,the total return,method of accounting,total return,0.25,0.0,DIFFERENT
a method of accounting,the value,method of accounting,value,0.1,0.0,DIFFERENT
a method of accounting,the value of a company traded on the stock market,method of accounting,value of a company traded on the stock market,0.2,0.0,DIFFERENT
a method of accounting,the value of a firm’s stock,method of accounting,value of a firms stock,0.2273,0.0,DIFFERENT
a method of accounting,the value of an asset,method of accounting,value of an asset,0.25,0.0,DIFFERENT
a method of accounting,the value of an asset or holding,method of accounting,value of an asset or holding,0.2857,0.0,DIFFERENT
a method of accounting,the vertical axis,method of accounting,vertical axis,0.2,0.0,DIFFERENT
a method of accounting,the world’s largest stock exchange by market capitalization of its listed companies,method of accounting,worlds largest stock exchange by market capitalization of its listed company,0.1447,0.0,DIFFERENT
a method of accounting,the yield,method of accounting,yield,0.05,0.0,DIFFERENT
a method of accounting,total book value (assets – liabilities) of a firm,method of accounting,total book value assets – liabilities of a firm,0.1489,0.0,DIFFERENT
a method of accounting,US government debt obligations,method of accounting,us government debt obligation,0.2069,0.0,DIFFERENT
a method of accounting,very large CDs,method of accounting,very large cds,0.15,0.0,DIFFERENT
a method of accounting,when a firm has trouble,method of accounting,when a firm has trouble,0.1304,0.0,DIFFERENT
a method of accounting,when an issuer fails to make scheduled interest or principal payments,method of accounting,when an issuer fails to make scheduled interest or principal payment,0.1618,0.0,DIFFERENT
a method of comparing projects of different lives,a method of comparing projects of differing lives,method of comparing projects of different live,method of comparing projects of differing live,0.9565,0.6667,EQUIVALENT
