canonical_relationship,example_instances,match_property_id,match_property_label,match_property_id_verified,match_type,is_causal
matches,expense recognition -> expenses with associated revenues,,,,NONE,False
may_derive_from,discount rate -> stated contract rates; discount rate -> costs to borrow; discount rate -> expected rates of return on investments,P828,has cause,True,ANALOGOUS,True
means,ceteris paribus -> holding all other things constant,,,,NONE,False
means_of_financing_for,commercial paper (CP) -> inventory or payables,,,,NONE,False
measured_in,cash cycle or cash conversion cycle -> days,,,,NONE,False
measures,accounts receivable turnover ratio -> how many times in a period a company will collect cash from accounts receivable; correlation coefficient -> strength and direction; debt-to-assets ratio -> portion of debt used by a company relative to the amount of assets,,,,NONE,False
measures_association_between,correlation -> two numeric variables,,,,NONE,False
measures_likelihood_of_change_in,duration -> bond prices,,,,NONE,False
measures_management_effectiveness_of,efficiency ratios -> assets,,,,NONE,False
measures_movement_relative_to,beta -> market,,,,NONE,False
measures_number_of_days,days’ sales in inventory -> it takes a company,,,,NONE,False
measures_portion_of,debt-to-equity ratio -> debt used by a company; earnings per share (EPS) -> corporation’s profit; empirical rule -> data values,,,,NONE,False
measures_prices_for,producer price index (PPI) -> supplies and raw materials,,,,NONE,False
measures_prices_paid_by,producer price index (PPI) -> producers of goods and services,,,,NONE,False
measures_rate_of_increase_of,growth rate -> dollar amount of dividends paid on a specific stock holding,,,,NONE,False
measures_resource_utilization_effectiveness_of,efficiency ratios -> assets,,,,NONE,False
measures_time_for,discounted payback period -> present value of future cash inflows to equal initial cost,,,,NONE,False
measures_time_to_turn_into,days’ sales in inventory -> inventory into sales,,,,NONE,False
measures_value_of,price-to-cash-flow (P/CF) ratio -> stock's price,,,,NONE,False
members_are_equivalent_to,non-stock corporation -> stockholders in a stock corporation,,,,NONE,False
members_have,non-stock corporation -> right to vote,,,,NONE,False
memorandum_of_association_defines,subscriber -> company's relationship with shareholders,,,,NONE,False
merges_with,vertical integration -> its supplier,,,,NONE,False
method_of_raising_capital,seasoned equity offering (SEO) -> offering additional shares of stock to the public,,,,NONE,False
minimizes,method of least squares -> differences between predicted and observed values for y; noncash expenses -> net income,,,,NONE,True
most_commonly_between,agency theory -> shareholders (principals) and company executives (agents),,,,NONE,False
must_be_deposited_by,compensating balance -> business,,,,NONE,False
must_be_maintained_by,compensating balance -> business,,,,NONE,False
must_be_posted_to_guarantee,margin -> trader will honor a futures contract,,,,NONE,False
must_be_provided_to,annual report -> shareholders; quarterly report -> shareholders,,,,NONE,False
needed_to_meet,"working capital -> daily, weekly, and monthly operating cash flow needs",,,,NONE,False
not_paid_as,structured settlements -> lump sum cash amount,,,,NONE,False
occurs_at,balance sheet -> given point in time; equilibrium -> demand and supply curves for a good or service; future value -> point in the future,P585,point in time,True,ANALOGOUS,False
occurs_between,compounding period -> points in time when interest is paid or added to the principal; interest income -> issue date and date of maturity,P585,point in time,True,ANALOGOUS,False
occurs_during,inventory turnover -> period; supply -> given time period,P580,start time,True,ANALOGOUS,False
occurs_in_period,expense recognition -> in which the revenues were generated,P580,start time,True,ANALOGOUS,False
occurs_on,"financial risk -> investment, business transaction, or venture; futures contract -> some future date",P585,point in time,True,ANALOGOUS,False
occurs_when,effective interest rate -> compounding occurs multiple times within a year,,,,NONE,False
occurs_within,growth rate -> specific time period,P580,start time,True,ANALOGOUS,False
of_entity_type,investor -> firm or mutual fund; shareholder (stockholder) -> public or private corporation,P31,instance of,True,EXACT,False
offered_to,initial public offering (IPO) -> public,,,,NONE,False
offers,zero-coupon bonds -> no interest or coupon payments,P1056,product or material produced,False,ANALOGOUS,False
offset_by,cash cycle or cash conversion cycle -> time it takes to pay suppliers (payables deferral period); free cash flow -> expected capital expenditures,P1479,has contributing factor,True,ANALOGOUS,True
offsets_risk_of,natural hedge -> decrease in value,P5642,risk factor,False,ANALOGOUS,True
often_accepts,financial intermediary -> one form of financial asset,,,,NONE,False
often_trade,negotiable certificate of deposit -> prior to maturity,,,,NONE,False
operated_by,sole proprietor (and sole proprietorship) -> single individual; sole proprietor (and sole proprietorship) -> single individual,P108,employer,True,ANALOGOUS,False
operates_in,financial industry regulatory authority (FINRA) -> united states,P131,located in the administrative territorial entity,True,ANALOGOUS,False
opposed_to,single payment or lump sum -> number of smaller payments or deposits made in installments,,,,NONE,False
organizes_by,accounts receivable aging schedule -> age of the account,,,,NONE,False
oversees,financial markets and institutions -> our financial system,,,,NONE,False
owned_by,public benefit corporation -> shareholders,P127,owned by,False,EXACT,False
owned_or_controlled_by,"assets -> company, individual, or other entity",P127,owned by,False,SPECIALIZATION,False
owner_has,put option -> no obligation,,,,NONE,False
owner_is_known_as,sole proprietor (and sole proprietorship) -> sole trader,,,,NONE,False
paid_at,par value -> maturity,P585,point in time,True,ANALOGOUS,False
paid_by,coupon payment -> bond issuer; dividend -> company; exercise price (strike price) -> option holder,,,,NONE,False
paid_for,exercise price (strike price) -> underlying asset; premium -> option contract; strike price (exercise price) -> underlying asset,,,,NONE,False
paid_out_of,dividend -> its profits or reserves,,,,NONE,False
paid_regularly,dividend -> typically quarterly,,,,NONE,False
paid_to,coupon payment -> bondholder; dividend -> its shareholders; interest -> lender,,,,NONE,False
paid_when,exercise price (strike price) -> exercising an option; strike price (exercise price) -> exercising the option,P585,point in time,True,ANALOGOUS,False
payments_are_specified_in,default risk -> terms of a financial contract,,,,NONE,False
payments_include,loan amortization -> both interest payment and repayment of the principal,P527,has part,True,ANALOGOUS,False
performs_function,rating agencies (bond rating services) -> credit risk evaluation,,,,NONE,False
period_is_usually,accounts receivable turnover ratio -> year,,,,NONE,False
pertains_to,annual meeting -> corporation; operating activities -> ongoing day-to-day operations; term risk -> potentially earning lower returns,P1269,facet of,False,EXACT,False
pertains_to_collectibility_of,allowance for doubtful accounts -> accounts receivable,P1269,facet of,False,SPECIALIZATION,False
prepared_in,subscriber -> formation and registration process of a company,P571,inception,True,ANALOGOUS,False
produces,convertible bonds -> interest payments,P1056,product or material produced,False,EXACT,False
recorded_when,accrual-basis accounting -> earned; accrual basis -> earned,P585,point in time,True,ANALOGOUS,False
records_transactions_when,capitalize -> balance sheet,,,,NONE,False
removes_from,core inflation index -> food and energy prices; core inflation index -> cpi,,,,NONE,True
replaces,lump sum -> series of future payments,,,,NONE,False
reported_on,financing activities -> statement of cash flows; investing activities -> statement of cash flows; operating activities -> statement of cash flows,,,,NONE,False
reports_difference_between,statement of stockholders’ equity -> beginning and ending balances of each stockholders’ equity account,,,,NONE,False
represents,cash ratio -> firm’s cash and cash equivalents divided by current liabilities; common stock -> partial ownership of a corporation; effective interest rate -> true cost of borrowing,,,,NONE,False
represents_translation_of,profit margin -> sales revenue into income,,,,NONE,False
required_for,compensating balance -> obtaining a loan,,,,NONE,False
requires,capital investment -> large up-front investment,,,,NONE,False
requires_equality_of,double-entry accounting -> sum of debits and sum of credits,,,,NONE,False
requires_revenue_recognition_when,revenue recognition -> it is earned,,,,NONE,False
responsible_for,Federal Reserve System (the Fed) -> administering fiscal policy for the country; treasurer -> monitoring cash flow at a firm,,,,NONE,False
returned_to,dividends -> owners of a corporation,,,,NONE,False
reward_for,market risk premium -> taking on the average amount of market risk; risk-free rate -> lending money,,,,NONE,False
security_for,factoring -> loan from a financial institution,,,,NONE,False
sells_at,deep discount bonds -> significantly lower values than their par values,,,,NONE,False
sells_type_of_option,option writer -> call or put option,,,,NONE,False
serves_as,Bureau of Labor Statistics -> principal agency of the us federal statistical system,P31,instance of,True,ANALOGOUS,False
serves_as_intermediary_to,financial intermediary -> enable easier and more efficient exchanges among transacting parties,,,,NONE,False
set_by,Federal Reserve funds rate (federal funds rate) -> federal reserve,,,,NONE,False
sets_policy_for,chief financial officer (CFO) -> working capital management,,,,NONE,False
shows_amounts_owed_by,accounts receivable aging schedule -> customers,,,,NONE,False
shows_dividend_payout_amount,dividend yield -> each year relative to its stock price,,,,NONE,False
shows_estimation_of,"cash budget -> cash inflows, outflows, and cash balances",,,,NONE,False
shows_values_of,scatter plot (scatter diagram) -> independent variable plotted on the x-axis; scatter plot (scatter diagram) -> dependent variable plotted on the y-axis,,,,NONE,False
sold_to,factoring -> financial institution,,,,NONE,False
source_of_money,payback period -> investment,,,,NONE,False
states_total_value_of_levered_company_is,trade-off theory -> value of the firm without leverage + value of the interest tax shield - financial distress costs,,,,NONE,False
studies,financial markets and institutions -> firms and regulatory agencies,P2579,studied by,True,EXACT,False
summarized_based_on,bar graph -> frequency or relative frequency,,,,NONE,False
sums,bond returns -> periodic interest payments and the change in bond price in a given period; stock returns -> periodic dividend payments plus the change in stock price in a given period,,,,NONE,False
supervises_activities_of,board of directors (BOD) -> organization,,,,NONE,False
targeted_by,federal funds rate -> federal reserve,,,,NONE,False
taxes_owners_as,S corporation -> individuals,,,,NONE,False
time_displayed_on,time series graph -> horizontal axis,,,,NONE,False
time_to_collect_payment_from,operating cycle -> customer,,,,NONE,False
time_to_use_cash_to_provide,operating cycle -> product or service,,,,NONE,False
tracked_by,GDP deflator -> bureau of economic analysis,,,,NONE,False
trades,secondary market -> used securities,,,,NONE,False
transacted_by,Federal Reserve funds rate (federal funds rate) -> commercial banks; secondary markets -> investors,,,,NONE,False
transfers_to,liabilities -> other entities,,,,NONE,False
used_as_benchmark_for,prime rate -> home equity lines of credit and credit card rates,,,,NONE,False
used_by,capital employed -> firm or on a project; capital structure -> firm; cash ratio -> investors and lenders,P1535,used by,True,EXACT,False
used_for,capital employed -> acquisition of profits; current ratio -> determine a company’s liquidity; investments -> create individual and institutional portfolios,,,,NONE,False
used_for_duration,long-term asset -> more than one year; noncurrent assets -> more than one year,,,,NONE,False
used_in,discount rate -> time value of money calculations; financial leverage -> company's capital structure; ratios -> formulas,,,,NONE,False
used_to_assess,cash ratio -> organization’s liquidity; market value ratios -> firm’s overall market price,,,,NONE,False
used_to_determine,coupon rate -> annual interest or coupon payment amounts; direct method -> net cash flows from operating activities; discount rate -> present value of future cash inflows,,,,NONE,True
used_to_explain,agency theory -> issues in the relationship between business principals and their agents,,,,NONE,False
used_to_finance,capital market -> long-term projects for organizations,,,,NONE,False
used_to_model,normal distribution -> many measurements,,,,NONE,False
used_to_resolve,agency theory -> issues in the relationship between business principals and their agents,,,,NONE,False
used_to_show,time series graph -> measurement data plotted versus time,P1056,product or material produced,False,ANALOGOUS,False
useful_for_calculating_probabilities_within,exponential distribution -> time between events,P1535,used by,True,ANALOGOUS,False
uses,data visualization -> graphical displays; quick ratio -> most liquid assets,P1535,used by,True,EXACT,False
uses_metrics_from,comparable company analysis (comps) -> other businesses,P1535,used by,True,SPECIALIZATION,False
uses_rate,present value (PV) -> known discount or interest rate,P1535,used by,True,SPECIALIZATION,False
usually_compared_to_market_price,economic value -> greater than or equal to the current market price,,,,NONE,False
usually_compared_to_present_value,economic value -> greater than or equal to the present value of the asset,,,,NONE,False
varies_by,US Treasury note rate -> length of time,,,,NONE,False
vertical_axis_shows,histogram -> frequency or relative frequency,P1056,product or material produced,False,ANALOGOUS,False
weighted_by,weighted average cost of capital (WACC) -> fractions of the firm’s value that correspond to debt and equity,,,,NONE,False
will_grow_to,future value (FV) -> given interest rate; future value (FV) -> given period of time,P1542,has effect,True,ANALOGOUS,True
